,text,intents
0,Hi,413549b1367c46a5a3da48c60f9dd431
1,Hello,413549b1367c46a5a3da48c60f9dd431
2,How are you,413549b1367c46a5a3da48c60f9dd431
3,What's going on,413549b1367c46a5a3da48c60f9dd431
4,tell me about you,2e850dc9f7dd49439960089816f191d2
5,who are you,2e850dc9f7dd49439960089816f191d2
6,tell me something about yourself,2e850dc9f7dd49439960089816f191d2
7,where are you from,2e850dc9f7dd49439960089816f191d2
8,tell me about your technical skills,c2993bf2d34b488c8bc67dc04340ebea
9,how much you know about python,c2993bf2d34b488c8bc67dc04340ebea
10,What is your skills,c2993bf2d34b488c8bc67dc04340ebea
11,tell me about your knowledge,c2993bf2d34b488c8bc67dc04340ebea
